Tipo de Asunto,Número completo del expediente,Número del expediente,Año,Acumulación de asuntos,Actor promovente,Actor legitimado de acuerdo a la CPEUM,Categoría del actor legitimado,Nombre del partido político cuando éste sea actor legitimado,Nombre(s) del (los) partido(s) político(s) que forman la minoría legislativa legitimada,Artículos constitucionales que se estiman violados,Fecha de ingreso a la SCJN,Fecha del acuerdo de radicación y turno,Ministro instructor designado en el auto de radicación y turno,Fecha del acuerdo inicial,Sentido del acuerdo inicial,Recurso de Reclamación,Asunto concluido por acuerdo,Fecha del acuerdo por el que se concluyó el asunto,Órgano resolutor de la sentencia ejecutoria,Fecha de sentencia ejecutoria,Nombre del ministro ponente,Fecha de notificación de la sentencia ejecutoria,Norma válida,Inconstitucionalidad,Norma inválida,Norma sobreseida,Sentencia desestimada,Sentencia otra,Tema de la Acción de Inconstitucionalidad,Órgano legislativo emisor de la norma impugnada,Nivel de gobierno del órgano legislativo emisor de la norma impugnada,Número de la legislatura del órgano emisor de la norma impugnada,Órgano que promulgó la norma impugnada,Nivel de gobierno del órgano que promulgó la norma impugnada,Entidad federativa del órgano emisor y promulgador de la norma impugnada,Norma impugnada,Validez territorial de la norma impugnada,Tipo de la norma impugnada,Fecha(s) de publicación de la norma impugnada,Órgano legislativo emisor de la norma impugnada 2,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 2,Número de la legislatura del órgano emisor de la norma impugnada 2,Órgano que promulgó la norma impugnada 2,Nivel de gobierno del órgano que promulgó la norma impugnada 2,Entidad federativa del órgano emisor y promulgador de la norma impugnada 2,Norma impugnada 2,Validez territorial de la norma impugnada 2,Tipo de la norma impugnada 2,Fecha(s) de publicación de la norma impugnada 2,Órgano legislativo emisor de la norma impugnada 3,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 3,Número de la legislatura del órgano emisor de la norma impugnada 3,Órgano que promulgó la norma impugnada 3,Nivel de gobierno del órgano que promulgó la norma impugnada 3,Entidad federativa del órgano emisor y promulgador de la norma impugnada 3,Norma impugnada 3,Validez territorial de la norma impugnada 3,Tipo de la norma impugnada 3,Fecha(s) de publicación de la norma impugnada 3,Órgano legislativo emisor de la norma impugnada 4,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 4,Número de la legislatura del órgano emisor de la norma impugnada 4,Órgano que promulgó la norma impugnada 4,Nivel de gobierno del órgano que promulgó la norma impugnada 4,Entidad federativa del órgano emisor y promulgador de la norma impugnada 4,Norma impugnada 4,Validez territorial de la norma impugnada 4,Tipo de la norma impugnada 4,Fecha(s) de publicación de la norma impugnada 4,Órgano legislativo emisor de la norma impugnada 5,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 5,Número de la legislatura del órgano emisor de la norma impugnada 5,Órgano que promulgó la norma impugnada 5,Nivel de gobierno del órgano que promulgó la norma impugnada 5,Entidad federativa del órgano emisor y promulgador de la norma impugnada 5,Norma impugnada 5,Validez territorial de la norma impugnada 5,Tipo de la norma impugnada 5,Fecha(s) de publicación de la norma impugnada 5,Órgano legislativo emisor de la norma impugnada 6,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 6,Número de la legislatura del órgano emisor de la norma impugnada 6,Órgano que promulgó la norma impugnada 6,Nivel de gobierno del órgano que promulgó la norma impugnada 6,Entidad federativa del órgano emisor y promulgador de la norma impugnada 6,Norma impugnada 6,Validez territorial de la norma impugnada 6,Tipo de la norma impugnada 6,Fecha(s) de publicación de la norma impugnada 6,Órgano legislativo emisor de la norma impugnada 7,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 7,Número de la legislatura del órgano emisor de la norma impugnada 7,Órgano que promulgó la norma impugnada 7,Nivel de gobierno del órgano que promulgó la norma impugnada 7,Entidad federativa del órgano emisor y promulgador de la norma impugnada 7,Norma impugnada 7,Validez territorial de la norma impugnada 7,Tipo de la norma impugnada 7,Fecha(s) de publicación de la norma impugnada 7,Órgano legislativo emisor de la norma impugnada 8,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 8,Número de la legislatura del órgano emisor de la norma impugnada 8,Órgano que promulgó la norma impugnada 8,Nivel de gobierno del órgano que promulgó la norma impugnada 8,Entidad federativa del órgano emisor y promulgador de la norma impugnada 8,Norma impugnada 8,Validez territorial de la norma impugnada 8,Tipo de la norma impugnada 8,Fecha(s) de publicación de la norma impugnada 8,¿Se hace referencia a disposiciones internacionales?,Disposición(es) internacional(es) en escrito inicial,Disposición(es) internacional(es) en pedimento de la PGR,Disposición(es) internacional(es) en informes,Disposición(es) internacional(es) en sentencia,Disposición(es) internacional(es) en voto separado,En caso de informes; quien  hace mención a la(s) disposición(es) internacional(es),En caso de voto separado; tipo de voto y quien(es) emite(n) el voto separado,
Acción de Inconstitucionalidad,00094/2007-00,94,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,16.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE ESPITA PARA EL EJERCICIO FISCAL DE 2007. ART.: 50; FRACCIÓN II.,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE ESPITA PARA EL EJERCICIO FISCAL DE 2007. ART.: 50; FRACCIÓN II.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00095/2007-00,95,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,JOSÉ RAMÓN COSSÍO DÍAZ,01.02.2007,ADMISIÓN,NO,NO,,PLENO,28.06.2007,JOSÉ RAMÓN COSSÍO DÍAZ,14.08.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE MATAMOROS PARA EL EJERCICIO FISCAL DE 2007. ART.: 13; 45 FRACCIONES V; VI; VIII; IX; X; XI; XIII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXII; XXIII; XXIV.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE MATAMOROS PARA EL EJERCICIO FISCAL DE 2007. ART.: 13. 45; FRACCIONES V; VI; VIII; IX; X; XI; XIII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXII; XXIII; XXIV.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00096/2007-00,96,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,MARGARITA BEATRIZ LUNA RAMOS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,28.06.2007,MARGARITA BEATRIZ LUNA RAMOS,13.09.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE OCAMPO PARA EL EJERCICIO FISCAL DE 2007. ART.: 12; 28; FRACCIONES VIII y IX.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE OCAMPO PARA EL EJERCICIO FISCAL DE 2007. ART.: 12. 28; FRACCIONES VIII y IX.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00097/2007-00,97,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,SERGIO A. VALLS HERNÁNDEZ,01.02.2007,ADMISIÓN,NO,NO,,PLENO,03.09.2007,SERGIO A. VALLS HERNÁNDEZ,15.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE NAVA PARA EL EJERCICIO FISCAL DE 2007. ART.: 12; 54; FRACCIONES V; VI; VII; VIII; IX; X; XI; XII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXIII; XXIV; XXV.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE NAVA PARA EL EJERCICIO FISCAL DE 2007. ART.: 12. 54; FRACCIONES V; VI; VII; VIII; IX; X; XI; XII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXIII; XXIV; XXV.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00098/2007-00,98,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,JOSÉ FERNANDO FRANCO GONZÁLEZ SALAS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,JOSÉ FERNANDO FRANCO GONZÁLEZ SALAS,16.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE SAN FELIPE PARA EL EJERCICIO FISCAL DE 2007. ART.: 30; FRACCIÓN II.,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE SAN FELIPE PARA EL EJERCICIO FISCAL DE 2007. ART.: 30; FRACCIÓN II.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00099/2007-00,99,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,GENARO DAVID GÓNGORA PIMENTEL,01.02.2007,ADMISIÓN,NO,NO,,PLENO,02.07.2007,GENARO DAVID GÓNGORA PIMENTEL,18.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE SIERRA MOJADA PARA EL EJERCICIO FISCAL DE 2007. ART.: 19; 36; FRACCIÓN VI.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE SIERRA MOJADA PARA EL EJERCICIO FISCAL DE 2007. ART.: 19. 36; FRACCIÓN VI.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00100/2007-00,100,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,SERGIO SALVADOR AGUIRRE ANGUIANO,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,SERGIO SALVADOR AGUIRRE ANGUIANO,16.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE CHOCHOLÁ PARA EL EJERCICIO FISCAL DE 2007. ART.: 37; FRACCIÓN II; INCISOS A); B); C) y D).,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE CHOCHOLÁ PARA EL EJERCICIO FISCAL DE 2007. ART.: 37; FRACCIÓN II; INCISOS A); B); C) Y D).,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00101/2007-00,101,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,JOSÉ DE JESÚS GUDIÑO PELAYO,01.02.2007,ADMISIÓN,NO,NO,,PLENO,28.06.2007,JOSÉ DE JESÚS GUDIÑO PELAYO,18.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE TORREÓN PARA EL EJERCICIO FISCAL DE 2007. ART.: 14; 45; FRACCIONES V; VI; IX; X; XI; XII; XIII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXII; XXIII; XXIV; XXV.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE TORREÓN PARA EL EJERCICIO FISCAL DE 2007. ART.: 14. 45; FRACCIONES V; VI; IX; X; XI; XII; XIII; XIV; XV; XVI; XVII; XVIII; XIX; XX; XXI; XXII; XXIII; XXIV; XXV.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00102/2007-00,102,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,JUAN N. SILVA MEZA,01.02.2007,ADMISIÓN,NO,NO,,PLENO,03.09.2007,JUAN N. SILVA MEZA,17.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE ACUÑA PARA EL EJERCICIO FISCAL DE 2007. ART.: 11; 42; FRACCIÓN V; NUMERALES 1; 2 Y 3.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE ACUÑA PARA EL EJERCICIO FISCAL DE 2007. ART.: 11. 42; FRACCIÓN V; NUMERALES 1; 2; 3.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00103/2007-00,103,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,18.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE IZAMAL PARA EL EJERCICIO FISCAL DE 2007. ART.: 28.,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE IZAMAL PARA EL EJERCICIO FISCAL DE 2007. ART.: 28.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00104/2007-00,104,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,JOSÉ RAMÓN COSSÍO DÍAZ,01.02.2007,ADMISIÓN,NO,NO,,PLENO,02.07.2007,JOSÉ RAMÓN COSSÍO DÍAZ,06.08.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE SINANCHÉ PARA EL EJERCICIO FISCAL DE 2007. ART.: 39; FRACCIÓN II; INCISOS A); B) Y C).,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE SINANCHÉ PARA EL EJERCICIO FISCAL DE 2007. ART.: 39; FRACCIÓN II.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00105/2007-00,105,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,MARGARITA BEATRIZ LUNA RAMOS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,MARGARITA BEATRIZ LUNA RAMOS,17.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE MUXUPIP PARA EL EJERCICIO FISCAL DE 2007. ART.: 38; FRACCIONES II; III.,,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE MUXUPIP PARA EL EJERCICIO FISCAL DE 2007. ART.: 38; FRACCIONES II; III.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00106/2007-00,106,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22; PÁRRAFO PRIMERO.,29.01.2007,31.01.2007,SERGIO A. VALLS HERNÁNDEZ,01.02.2007,ADMISIÓN,NO,NO,,PRIMERA SALA,25.04.2007,SERGIO A. VALLS HERNÁNDEZ,09.05.2007,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 20; FRACC. II; ART. 19; FRACC. V; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,FISCAL,CONGRESO DEL ESTADO DE AGUASCALIENTES,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE AGUASCALIENTES,ESTATAL,AGUASCALIENTES,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE CALVILLO; ESTADO DE AGUASCALIENTES; PARA EL EJERCICIO FISCAL DE 2007. ART.: 47; APARTADOS C; D Y E.,(1) MUNICIPAL,(1) LEY,(1) 28.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00107/2007-00,107,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,31; FRACCIÓN IV.,29.01.2007,31.01.2007,JOSÉ FERNANDO FRANCO GONZÁLEZ SALAS,01.02.2007,ADMISIÓN,NO,NO,,PLENO,13.04.2009,JOSÉ FERNANDO FRANCO GONZÁLEZ SALAS,11.06.2009,,SÍ,NORMA (A): CÓDIGO FINANCIERO PARA EL ESTADO DE TLAXCALA Y SUS MUNICIPIOS. ART.: 147; FRACCIONES XXI Y XXI-BIS.,,,,FISCAL,CONGRESO DEL ESTADO DE TLAXCALA,ESTATAL,LVIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE TLAXCALA,ESTATAL,TLAXCALA,NORMA (1): CÓDIGO FINANCIERO PARA EL ESTADO DE TLAXCALA Y SUS MUNICIPIOS. ART.: 147; FRACCIÓN XXI Y XXI-BIS.,(1) ESTATAL,(1) CÓDIGO,(1) 30.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00108/2007-00,108,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,GENARO DAVID GÓNGORA PIMENTEL,01.02.2007,ADMISIÓN,NO,NO,,PLENO,02.07.2007,GENARO DAVID GÓNGORA PIMENTEL,06.08.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE TLAXCALA PARA EL EJERCICIO FISCAL DE 2007. ART.: 21; 44; FRACCIONES IX Y XI.,,,,FISCAL,CONGRESO DEL ESTADO DE TLAXCALA,ESTATAL,LVIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE TLAXCALA,ESTATAL,TLAXCALA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE TLAXCALA PARA EL EJERCICIO FISCAL DE 2007. ART.: 21. 44; FRACCIÓN IX y XI.,(1) MUNICIPAL,(1) LEY,(1) 28.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00109/2007-00,109,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22. 73; FRACCIÓN XXIX; SECCIÓN 5; INCISO A). 124.,29.01.2007,31.01.2007,SERGIO SALVADOR AGUIRRE ANGUIANO,01.02.2007,ADMISIÓN,NO,NO,,PLENO,03.09.2007,SERGIO SALVADOR AGUIRRE ANGUIANO,17.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE PARRAS PARA EL EJERCICIO FISCAL DE 2007. ART.: 14; 45; FRACCIONES XVI; XVIII; XIX; XXI; XXII.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE PARRAS PARA EL EJERCICIO FISCAL DE 2007. ART.: 14. 45; FRACCIONES XVI; XVIII; XIX; XXI; XXII.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00110/2007-00,110,2007,,PROCURADOR GENERAL DE LA REPÚBLICA,PROCURADOR GENERAL DE LA REPÚBLICA,EJECUTIVO FEDERAL,NO APLICA,NO APLICA,16. 22.,29.01.2007,31.01.2007,JOSÉ DE JESÚS GUDIÑO PELAYO,01.02.2007,ADMISIÓN,NO,NO,,PLENO,30.08.2007,JOSÉ DE JESÚS GUDIÑO PELAYO,18.10.2007,,SÍ,NORMA (A): LEY DE INGRESOS DEL MUNICIPIO DE SALTILLO PARA EL EJERCICIO FISCAL DE 2007. ART.: 43; FRACCIONES XVI; XXIII; XXIV; XXV.,,,,FISCAL,CONGRESO DEL ESTADO DE COAHUILA,ESTATAL,LVII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COAHUILA,ESTATAL,COAHUILA,NORMA (1): LEY DE INGRESOS DEL MUNICIPIO DE SALTILLO PARA EL EJERCICIO FISCAL DE 2007. ART.: 43; FRACCIONES XVI; XXIII; XXIV; XXV.,(1) MUNICIPAL,(1) LEY,(1) 29.12.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
